CODIGO SISTEMA ,CENCO,EAN ,DUN,TIPO PRODUCTOS ,CAP. CAJA,MARCA,CAJA,INSUMO,BOLSA,CODIGO,ALTO (CM),ANCHO (CM),LARGO (CM),PESO (GR)
CT-01005423,1651842,7898509285423,,BANDEJA DISEÑO ELY GRANDE,36,ELY,PIÑATA ,BANDEJA DISEÑO N10,,32x22,11,40,49,3500
CT-01002248,1651843,7898509282248,,BANDEJA DISEÑO ELY MEDIANA,36,ELY,PIÑATA ,BANDEJA DISEÑO N8,38X40,32x22,11,40,49,2650
CT-01005430,1651844,7898509285430,,BANDEJA DISEÑO ELY CHICA,36,ELY,PIÑATA ,BANDEJA DISEÑO N6,38X40,32x22,12,33,38,1950
ELY-20025,283514,7805475000547,,TARJETA INVITACION ELY GLOBOS 6UN,12,ELY,MICRO J,PLIEGOS DE TARJETA DE INVITACION ELY,10X20,32X22,9,20,20,400
CP-ELY20005,279475,7805475000332,,BOLSAS SORPRESA ELY GLOBOS DISPLAY 6UN,12,ELY,MICRO J,BOLSA DULCES GLOBOS PEBD,18X35 ,32X22,9,20,20,400
CT-ELY-INFAN07,1758071,7805475004217,17805475004214,BOLSA P/DULCES INFANTIL ELY 10UN,24,ELY,ORIGEN,X,X,X,33,20,3,550
DR-5005535,1800042,7805475005535,17805475005532,BOMBILLA ECO 20UN,50,BIOELY,R BIOELY,BOMBILLA RIGIDA,10X30 ,32X22,15,27,36,1400
BOM00718,1822977,7805475007188,17805475007185,BOMBILLA PLA FLEXIBLE BIOELY 20 UN,50,BIOELY,R BIOELY,BOMBILLA FLEXIBLE ,10X30 ,X,15,27,36,1400
DR-ELY-BROJA1+ZIZGAG,1822978,7805475007195,17898509285475,BOMBILLA PAPEL ELY 20 UND,50,ELY,ORIGEN,X,X,X,14,"24,5",41,1700
DR-ELY-BROJA2+PUNT,1838071,7898509282552,17898509282559,BOMBILLA PAPEL ELY 50 UND,48,ELY,ORIGEN,X,X,X,"10,5",20,49,3800
ELY-20013,282480,7805475211349,,PIÑATA ELY,1,ELY,PIÑATA ,PIÑATAS ,X,32X22,11,40,49,500
CP-ELY20008,652615,7805475001872,,GORRO CONO ELY GLOBO 6UN,12,ELY,0-0,GORRO CONO,18X25 ,X,26,25,38,1050
CP-ELY20046,280069,7805475000363,,CORNETA ELY GLOBOS 6UN,12,ELY,0-0,CORNETA GLOBO,18X25 ,X,15,25,38,550
XX-90002ROS,652589,7805475001971,,GLOBO Nº9 MONOCOLOR ROSADO 6UN,12,ELY,ORIGEN/MICRO J,GLOBO N9 ROSADO,8X19,32X22,9,20,20,142
ELY-20007,652614,7805475200022,,GLOBO SURTIDO MEDIANO 6 UN,12,ELY,ORIGEN/MICRO J,"GLOBO N9 VERDE, ROSADO, AMARILLO,BLANCO, AZUL, ROJO)",8X19,32X22,9,20,20,600
CT-01283334,1662602,7898509283337,17898509283334,GLOBO N°9 SURTIDO 50 UN,25,ELY,ORIGEN/0-0,"GLOBO N9 VERDE, ROSADO, AMARILLO,BLANCO, AZUL, ROJO)",18X20,32X22,15,25,38,1900
NB-024 CAJA,1662603,7898509283344,,GLOBO Nº9 MONOCOLOR AMARILLO 50UN,25,ELY,ORIGEN/0-0,GLOBO N9 AMARILLO,18X20,32X22,15,25,38,1950
NB-025 CAJA,1750444,7805475004002,,GLOBO Nº9 MONOCOLOR ROJO 50UN,25,ELY,ORIGEN/0-0,GLOBO N9 AMARILLO,18X20,32X22,15,25,38,1950
NB-026 CAJA,1750445,7805475004019,,GLOBO Nº9 MONOCOLOR AZUL 50UN,25,ELY,ORIGEN/0-0,GLOBO N9 AZUL,18X20,32X22,15,25,38,1950
NB-027 CAJA,1750446,7805475004026,,GLOBO Nº9 MONOCOLOR VERDE 50UN,25,ELY,ORIGEN/0-0,GLOBO N9 VERDE,18X20,32X22,15,25,38,1950
NB-028 CAJA,1750447,7805475004033,,GLOBO Nº9 MONOCOLOR NARANJA 50UN,25,ELY,ORIGEN/0-0,GLOBO N9 NARANJA,18X20,32X22,15,25,38,1950
NB-029 CAJA,1750448,7805475004040,,GLOBO Nº9 MONOCOLOR ROSADO 50UN,25,ELY,ORIGEN/0-0,GLOBO N9 ROSADO,18X20,32X22,15,25,38,1950
NB-030 CAJA,1750449,7805475004057,,GLOBO Nº9 MONOCOLOR BLANCO 50UN,25,ELY,ORIGEN/0-0,GLOBO N9 BLANCO,18X20,32X22,15,25,38,1950
XX-90002AM,1750450,7805475003944,,GLOBO Nº9 MONOCOLOR AMARILLO 6UN,12,ELY,ORIGEN/MICRO J,GLOBO N9 AMARILLO,8X19,32X22,9,20,20,142
XX-90002RJ,1750451,7805475003951,,GLOBO Nº9 MONOCOLOR ROJO 6UN,12,ELY,ORIGEN/MICRO J,GLOBO N9 ROJO,8X19,32X22,9,20,20,142
XX-90002AZ,1750452,7805475003968,,GLOBO Nº9 MONOCOLOR AZUL 6UN,12,ELY,ORIGEN/MICRO J,GLOBO N9 AZUL,8X19,32X22,9,20,20,142
XX-90002VE,1750453,7805475003975,,GLOBO Nº9 MONOCOLOR VERDE 6UN,12,ELY,ORIGEN/MICRO J,GLOBO N9 VERDE,8X19,32X22,9,20,20,142
XX-90002BL,1750454,7805475003982,,GLOBO Nº9 MONOCOLOR BLANCO 6UN,12,ELY,ORIGEN/MICRO J,GLOBO N9 BLANCO,8X19,32X22,9,20,20,142
XX-90002NJ,1750455,7805475003999,,GLOBO Nº9 MONOCOLOR NARANJO 6UN,12,ELY,ORIGEN/MICRO J,GLOBO N9 NARANJA,8X19,32X22,9,20,20,142
ELY-20016*12,672571,7805475002121,,SERVILLETA DICU IMPRESA GLOBOS,12,ELY,MICRO J,SERVILLETA GLOBOS,18X20,32X22,9,20,20,700
CT-ELY-INFAN03,1758068,7805475004187,17805475004184,SERVILLETA INFANTIL ELY 20UN,24,ELY,CERO,SERVILLETA CUPCAKES Y MONSTER (50/50),20X28,32X22,20,20,35,1050
ELY-20010,281375,7805475210601,,MANTEL ELY CUMPLEAÑOS DISPLAY BCO,25,ELY,MICRO J,MANTEL BLANCO PEBD,8E ELY,32X22,9,20,20,500
ELY-20009,281377,7805475000486,,MANTEL ELY IMPRESO GLOBOS,12,ELY,MICRO J ,MANTEL GLOBOS PEBD,18X35 ,32X22,9,20,20,1700
CT-ELY-INFAN04,1758069,7805475004194,17805475004191,MANTEL INFANTIL ELY,24,ELY,ORIGEN,X,X,X,33,20,3,1050
MAN00612,1822959,7805475006129,17805475006126,MANTEL BIOELY 1 UN,25,BIOELY,MICRO D,MANTEL BIOELY ,,X,14,20,27,2000
CP-ELY20011,282582,7805475000516,,PLATO ELY IMPRESO GLOBO 6UN,12,ELY,MICRO J,PLATO GLOBO ,20X28,32X22,9,20,20,750
CT-ELY-INFAN01,1758066,7805475004163,17805475004160,PLATO INFANTIL ELY 10UN,24,ELY,ORIGEN,X,X,X,25,25,30,2350
ZE-82067,1237546,7896211820673,87896211820679,PLATO 17CM TERMOFORMADO DROP IT! 6UN,100,DROP IT,ORIGEN,PLATO PLASTICO 17CM DOMINGO/DROP IT/ELY PREIMIUM,20X25,,26,25,55,6650
CT-01006008,1237547,7896211877639,17896211877636,PLATO 22CM TERMOFORMADO DROP IT! 6UN,100,DROP IT,ORIGEN,PLATO PLASTICO 22CM DOMINGO/DROP IT/ELY PREMIUM,30X35,,26,25,55,6650
CT-01006017,1237556,7896211813200,97896211813203,PLATO 17CM TERMOFORMADO DROP IT! 20UN,26,DROP IT,ORIGEN,PLATO PLASTICO 17CM DOMINGO/DROP IT/ELY PREIMIUM,20X25,,19,19,41,4600
CT-01006018,1237557,7896211813033,97896211813036,PLATO 22CM TERMOFORMADO DROP IT! 20UN,18,DROP IT,ORIGEN,PLATO PLASTICO 22CM DOMINGO/DROP IT/ELY PREMIUM,30X35,,24,23,24,4600
CT-01006029,1240687,7898335076974,17898335076971,PLATO DROP IT! 17CM 6UN,90,DROP IT,ORIGEN,PLATO PLASTICO 17CM DOMINGO/DROP IT/ELY PREIMIUM,20X25,,19,19,41,3800
PLBIO-001,1776008,7805475004132,17805475004139,PLATO BIOELY 17CM 10UN,40,BIOELY,N BIOELY,PLATO 17CM BIOELY 50X20,20X25,32X22,20,30,38,5050
